"SKU","Product Name","Smell Group","Smell Subgroup","Smell Head","Smell Heart","Smell Base","Colour","hue","value","chroma","Edition"
"101268FR-XS",Magical Winter,"""Oriental""","""Gourmand""","""Crisp Apple, Chamomile, Bergamot""","""Cinnamon Stick, Clove, Bud, Rosemary, Raspberry""","""Flint Accord, Cedar Leaf, Sandalwood, Incense, Patchouli""","""Light Purple""","5RP","""9""","""2""","""Classic"""
"101268IT-L",Magical Winter,"""Oriental""","""Gourmand""","""Crisp Apple, Chamomile, Bergamot""","""Cinnamon Stick, Clove, Bud, Rosemary, Raspberry""","""Flint Accord, Cedar Leaf, Sandalwood, Incense, Patchouli""","""Light Purple""","5RP","""9""","""2""","""Classic"""
"101268IT-M",Magical Winter,"""Oriental""","""Gourmand""","""Crisp Apple, Chamomile, Bergamot""","""Cinnamon Stick, Clove, Bud, Rosemary, Raspberry""","""Flint Accord, Cedar Leaf, Sandalwood, Incense, Patchouli""","""Light Purple""","5RP","""9""","""2""","""Classic"""
"101268IT-S",Magical Winter,"""Oriental""","""Gourmand""","""Crisp Apple, Chamomile, Bergamot""","""Cinnamon Stick, Clove, Bud, Rosemary, Raspberry""","""Flint Accord, Cedar Leaf, Sandalwood, Incense, Patchouli""","""Light Purple""","5RP","""9""","""2""","""Classic"""
"101268IT-XS",Magical Winter,"""Oriental""","""Gourmand""","""Crisp Apple, Chamomile, Bergamot""","""Cinnamon Stick, Clove, Bud, Rosemary, Raspberry""","""Flint Accord, Cedar Leaf, Sandalwood, Incense, Patchouli""","""Light Purple""","5RP","""9""","""2""","""Classic"""
"101269DE-L",Hot Chestnut,"""Oriental""","""Gourmand""","""Aromatic, Hawthorne""","""Carnation, Iris, Geranium""","""Vanilla, Amber, Sandalwood""","""Brown""","5YR","""5""","""10""","""Classic"""
"101269DE-M",Hot Chestnut,"""Oriental""","""Gourmand""","""Aromatic, Hawthorne""","""Carnation, Iris, Geranium""","""Vanilla, Amber, Sandalwood""","""Brown""","5YR","""5""","""10""","""Classic"""
"101269DE-S",Hot Chestnut,"""Oriental""","""Gourmand""","""Aromatic, Hawthorne""","""Carnation, Iris, Geranium""","""Vanilla, Amber, Sandalwood""","""Brown""","5YR","""5""","""10""","""Classic"""
"101269FR-L",Hot Chestnut,"""Oriental""","""Gourmand""","""Aromatic, Hawthorne""","""Carnation, Iris, Geranium""","""Vanilla, Amber, Sandalwood""","""Brown""","5YR","""5""","""10""","""Classic"""
"101269FR-M",Hot Chestnut,"""Oriental""","""Gourmand""","""Aromatic, Hawthorne""","""Carnation, Iris, Geranium""","""Vanilla, Amber, Sandalwood""","""Brown""","5YR","""5""","""10""","""Classic"""
